,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Community Area,Year,Updated On,Latitude,Longitude,Location,Zip Codes,zip_code
1623,9445075,HW589137,12/30/2013 03:00:00 PM,052XX W NELSON ST,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,False,True,19,2013,02/10/2018 03:50:01 PM,41.935954261,-87.757371278,"(41.935954261, -87.757371278)",22618.0,60641
1624,9447759,HX101147,12/30/2013 03:00:00 PM,072XX S SOUTH SHORE DR,THEFT,OVER $500,STREET,False,False,43,2013,02/10/2018 03:50:01 PM,41.764728045,-87.561272312,"(41.764728045, -87.561272312)",22538.0,60649
1625,9445414,HW589580,12/30/2013 03:00:00 PM,004XX W 77TH ST,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,69,2013,02/10/2018 03:50:01 PM,41.754420511,-87.635045905,"(41.754420511, -87.635045905)",21554.0,60620
1626,9445270,HW589105,12/30/2013 02:55:00 PM,083XX S COTTAGE GROVE AVE,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,True,False,44,2013,02/10/2018 03:50:01 PM,41.743125083,-87.605007694,"(41.743125083, -87.605007694)",21546.0,60619
1627,9445037,HW589100,12/30/2013 02:55:00 PM,033XX W DOUGLAS BLVD,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,29,2013,02/10/2018 03:50:01 PM,41.862923774,-87.70891869,"(41.862923774, -87.70891869)",21569.0,60623
1628,9445136,HW589161,12/30/2013 02:53:00 PM,040XX W WRIGHTWOOD AVE,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,PARKING LOT/GARAGE(NON.RESID.),True,True,22,2013,09/07/2021 03:41:02 PM,41.928098079,-87.728131363,"(41.928098079, -87.728131363)",22615.0,60641
1629,9445361,HW589210,12/30/2013 02:50:00 PM,064XX S KENWOOD AVE,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,STREET,False,False,42,2013,02/10/2018 03:50:01 PM,41.777810401,-87.593008043,"(41.777810401, -87.593008043)",22260.0,60637
1630,9446701,HW589081,12/30/2013 02:45:00 PM,066XX S CHAMPLAIN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,42,2013,02/10/2018 03:50:01 PM,41.774108794,-87.609441441,"(41.774108794, -87.609441441)",22260.0,60637
1631,9445271,HW589122,12/30/2013 02:45:00 PM,077XX S NORMAL AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,69,2013,09/07/2021 03:41:02 PM,41.753418541,-87.636804902,"(41.753418541, -87.636804902)",21554.0,60620
1632,9446686,HW589140,12/30/2013 02:45:00 PM,020XX W WILLOW ST,THEFT,OVER $500,STREET,False,False,24,2013,02/10/2018 03:50:01 PM,41.913825764,-87.678203935,"(41.913825764, -87.678203935)",22535.0,60647
