geography_type,year,geography,total,age_0-17,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80+,age_0-4,age_5-11,age_12-17,age_5+,age_18+,age_65+,female,male,latinx,asian_non-latinx,black_non-latinx,white_non-latinx,other_race_non-latinx
ZIP Code,2018,60619,61258,13004,9237,7612,6708,9315,8378,3953,3051,3911,0.0,0.0,57347,48254,10410,33577,27681,869,0.0,0.0,854,0.0
ZIP Code,2018,60620,68096,14684,11375,7287,8437,10136,7482,5062,3633,3563,0.0,0.0,64533,53412,11842,38095,30001,911,0.0,0.0,755,0.0
ZIP Code,2018,60621,29042,7810,5183,3250,2926,4073,2897,1739,1164,2504,0.0,0.0,26538,21232,3928,15858,13184,1061,0.0,0.0,320,0.0
ZIP Code,2018,60622,52793,8055,14666,15452,6263,3783,2594,1125,855,3540,0.0,0.0,49253,44738,3119,25577,27216,11579,0.0,0.0,34144,0.0
ZIP Code,2018,60623,85979,26387,15945,12798,10170,9008,6621,3450,1600,6801,0.0,0.0,79178,59592,7805,44032,41947,56864,0.0,0.0,2508,0.0
ZIP Code,2018,60624,36158,11024,6743,4302,4411,4232,2806,1616,1024,3276,0.0,0.0,32882,25134,3922,19252,16906,1915,0.0,0.0,989,0.0
ZIP Code,2018,60625,79243,15820,15783,16649,11120,8508,6399,2813,2151,5981,0.0,0.0,73262,63423,7575,39551,39692,25978,0.0,0.0,36086,0.0
ZIP Code,2018,60626,49730,8302,12049,9619,6518,5764,4040,2143,1295,2553,0.0,0.0,47177,41428,5031,25148,24582,10252,0.0,0.0,22444,0.0
ZIP Code,2018,60628,66724,15513,11827,7029,8502,8953,7216,4984,2700,4153,0.0,0.0,62571,51211,11272,35908,30816,2292,0.0,0.0,1281,0.0
ZIP Code,2018,60629,111850,32380,21377,16517,14408,11184,8590,5356,2038,8884,0.0,0.0,102966,79470,11127,57035,54815,79432,0.0,0.0,9203,0.0
ZIP Code,2018,60630,57344,11913,7773,8847,7381,8978,6351,3422,2679,3527,0.0,0.0,53817,45431,8738,29455,27889,16007,0.0,0.0,32184,0.0
ZIP Code,2018,60631,29529,5985,3662,3896,4358,4127,3549,1897,2055,1875,0.0,0.0,27654,23544,5469,15265,14264,3152,0.0,0.0,24253,0.0
ZIP Code,2018,60632,91039,26881,17407,13371,11676,9069,6795,4009,1831,7048,0.0,0.0,83991,64158,8702,44667,46372,76434,0.0,0.0,7996,0.0
ZIP Code,2018,60633,12871,2827,2173,1766,1515,2173,1227,765,425,890,0.0,0.0,11981,10044,1676,6085,6786,5790,0.0,0.0,4048,0.0
ZIP Code,2018,60634,75995,16581,11044,11242,10440,10766,8425,4638,2859,5026,0.0,0.0,70969,59414,11417,39061,36934,29065,0.0,0.0,41060,0.0
ZIP Code,2018,60636,32203,7442,5062,3611,3903,4461,3132,3321,1271,1964,0.0,0.0,30239,24761,6194,16978,15225,2472,0.0,0.0,338,0.0
ZIP Code,2018,60637,47454,11552,11606,5984,4834,5367,4549,2253,1309,3182,0.0,0.0,44272,35902,5463,26577,20877,1341,0.0,0.0,6858,0.0
ZIP Code,2018,60638,58797,14300,8208,9003,7394,8132,6179,3337,2244,4023,0.0,0.0,54774,44497,8239,29764,29033,30440,0.0,0.0,25612,0.0
ZIP Code,2018,60639,90517,24573,16203,13873,12852,10387,7660,3539,1430,6633,0.0,0.0,83884,65944,8137,45508,45009,70538,0.0,0.0,6104,0.0
ZIP Code,2018,60640,69715,9545,14152,14142,10576,8963,5970,3574,2793,3256,0.0,0.0,66459,60170,8987,34101,35614,9939,0.0,0.0,38554,0.0
ZIP Code,2018,60641,71023,15849,11820,12054,9928,9061,7206,3177,1928,4627,0.0,0.0,66396,55174,7905,36182,34841,38350,0.0,0.0,26008,0.0
ZIP Code,2018,60642,20201,2331,6707,5581,2200,1416,1110,585,271,999,0.0,0.0,19202,17870,1322,10092,10109,4074,0.0,0.0,12126,0.0
ZIP Code,2018,60643,49870,11082,6126,5627,6451,8105,5905,3706,2868,3134,0.0,0.0,46736,38788,9153,27232,22638,1649,0.0,0.0,10138,0.0
ZIP Code,2018,60644,47712,12336,9394,5857,5261,6048,4851,2517,1448,3623,0.0,0.0,44089,35376,6201,25669,22043,3068,0.0,0.0,1392,0.0
ZIP Code,2018,60645,47732,12906,7091,6952,5824,5468,5064,2621,1806,4329,0.0,0.0,43403,34826,6564,23992,23740,8127,0.0,0.0,21481,0.0
ZIP Code,2018,60646,27987,6000,3377,3458,3787,4086,3238,2108,1933,1802,0.0,0.0,26185,21987,5732,14765,13222,3971,0.0,0.0,20315,0.0
